,企業名,URL,電話番号,電話番号と周辺情報
72,パーソルダイバース株式会社（旧：パーソルチャレンジ株式会社）,https://www.google.com/search?q=%E3%83%91%E3%83%BC%E3%82%BD%E3%83%AB%E3%83%80%E3%82%A4%E3%83%90%E3%83%BC%E3%82%B9%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%EF%BC%88%E6%97%A7%EF%BC%9A%E3%83%91%E3%83%BC%E3%82%BD%E3%83%AB%E3%83%81%E3%83%A3%E3%83%AC%E3%83%B3%E3%82%B8%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%EF%BC%89%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-6478-1730', 2), ('03-6385-6142', 2), ('03-6385-6143', 1), ('0880-22-4010', 1), ('03-3375-2220', 1)]","['イバース株式会社は、旧パーソルチャレンジ株式会社と旧パーソル  本社電話番号, 03-6478-1730 創立, 2008年1月1日（特例認定 |||', '【旧社名：パーソルチャレンジ(株)】 正社員; 既卒可 現在  本社電話番号, 03-6478-1730 創立, 2008年1月1日（特例認定 |||']"
73,株式会社太陽企画（人材）,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E5%A4%AA%E9%99%BD%E4%BC%81%E7%94%BB%EF%BC%88%E4%BA%BA%E6%9D%90%EF%BC%89%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-3987-0981', 4), ('03-3987-0985', 1)]",[]
74,株式会社エイジス,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%A8%E3%82%A4%E3%82%B8%E3%82%B9%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('043-350-0888', 2), ('022-292-1620', 1), ('022-292-1621', 1), ('087-814-4555', 1), ('087-814-4566', 1), ('087-813-8111', 1), ('03-3249-4104', 1)]",['業  - エイジス › 株式会社エイジス 個人情報に係る苦情・相談窓口 TEL 043-350-0888／ FAX 043-350  電話番号：|||']
75,株式会社モード・プランニング・ジャパン,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%A2%E3%83%BC%E3%83%89%E3%83%BB%E3%83%97%E3%83%A9%E3%83%B3%E3%83%8B%E3%83%B3%E3%82%B0%E3%83%BB%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-6847-5888', 4), ('03-6847-5859', 3), ('03-6847-5787', 2), ('03-6847-5889', 2), ('03-6847-5858', 2), ('03-6847-5805', 1)]","['地, 東京都中央区銀座七丁目16番12号 G7ビルディング6階 本社電話番号, 03-6847-5805 設立, 1991年3月 資本金, 8,|||']"
76,ディーピーティー株式会社,https://www.google.com/search?q=%E3%83%87%E3%82%A3%E3%83%BC%E3%83%94%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('052-238-1118', 5), ('052-265-9382', 3), ('052-265-9383', 2), ('052-238-1158', 1), ('052-238-4518', 1), ('052-265-9381', 1), ('03-6721-7088', 1)]","['事業 TEL：052-265-9381ディーピーティー 株式会社 本社 / 電話052-238-1118似たような質問ディーピーティー株式会社は|||', '県名古屋市中区栄3-3-21 セントライズ栄 8F(メディア事業6F) TEL:052-238-1118  DPT ディーピーティー株式会社 D|||', '用・会社概要 | マイナビ2024 ›  › 207209 › 本社電話番号, 052-265-9382 東京支社郵便番号, 141-0032 |||', '在地, 愛知県名古屋市中区栄三丁目3番21号セントライズ栄8F 本社電話番号, 052-265-9382 東京支社郵便番号, 141-0032 |||']"
77,株式会社トランジットジェネラルオフィス,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%88%E3%83%A9%E3%83%B3%E3%82%B8%E3%83%83%E3%83%88%E3%82%B8%E3%82%A7%E3%83%8D%E3%83%A9%E3%83%AB%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('050-1743-1601', 2), ('050-1743-1210', 1), ('06-7777-6600', 1), ('06-7777-6400', 1), ('03-6826-5660', 1)]",['RL: ://- 詳細情報株式会社トランジットジェネラルオフィス › TEL: 050-1743-1601; URL: ://-; 代表者 代表取|||']
78,株式会社ビーネックステクノロジーズ,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%93%E3%83%BC%E3%83%8D%E3%83%83%E3%82%AF%E3%82%B9%E3%83%86%E3%82%AF%E3%83%8E%E3%83%AD%E3%82%B8%E3%83%BC%E3%82%BA%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-5777-7727', 3), ('092-432-0306', 1), ('03-5777-7728', 1), ('03-5777-7736', 1), ('03-5777-7742', 1), ('06-4795-4603', 1), ('06-4795-4604', 1), ('0800-100-0257', 1)]","['在地, 東京都港区東新橋2-14-1 NBFコモディオ汐留3F 本社電話番号, 03-5777-7727 設立, 2019年7月 資本金, 2億|||']"
79,株式会社IMAGICA GEEQ（旧：株式会社イマジカデジタルスケープ）,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEIMAGICA%20GEEQ%EF%BC%88%E6%97%A7%EF%BC%9A%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%A4%E3%83%9E%E3%82%B8%E3%82%AB%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%B9%E3%82%B1%E3%83%BC%E3%83%97%EF%BC%89%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-5459-6200', 2), ('03-4446-6617', 1)]","['身は2004年にデジタルスケープの1グループとしてスタート。  本社電話番号, 03-5459-6200 バウハウス東京 郵便番号, 102-0|||']"
80,株式会社アビスト,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%A2%E3%83%93%E3%82%B9%E3%83%88%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('0422-26-5960', 4), ('0422-26-5963', 2), ('03-5972-4491', 2), ('03-5972-4492', 2), ('0120-26-4769', 1), ('0120-81-0921', 1), ('03-5942-4649', 1), ('03-5942-4631', 1), ('0120-99-7636', 1)]","['店・第二東京支店東京システム支店 TEL：03-5972-4491 ／ FAX：03-5972-4492本社・事業所のご案内｜株式会社アビスト |||', 'による機械設計、システム・ソフトウェア開発の株式会社アビスト  電話番号, 例：0422-26-5960 FAX番号, 例：0422-26-59|||', '株式会社アビスト  電話番号, 例：0422-26-5960 FAX番号, 例：0422-26-5963 郵便番号, － 例：181-0013(|||', '本社所在地, 東京都三鷹市下連雀3丁目36番1号 トリコナ5階 本社電話番号, 0422-26-5960 創業, 1998年2月1日 設立, 2|||']"
81,株式会社アドバ,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%A2%E3%83%89%E3%83%90%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-6911-4955', 4), ('052-263-8755', 2), ('042-739-6882', 2), ('181-5190-2137', 1), ('2042-739-6882', 1)]","['。 社長宛。いないと言ったら、先日メールした件で連絡取りたいという。 折り返しは181-5190-2137だった。お問い合わせ｜株式会社アドバ ›|||', '427396882/042-739-6882の情報 - IVR › H › 042042-739-6882は、株式会社アドバの電話番号です。株式会|||', '・広告業）の電話番号・住所・地図 › 株式会社アドバ（宣伝・広告業）の電話番号は042-739-6882、住所は東京都町田市原町田3丁目2−2、|||']"
82,WDBココ株式会社,https://www.google.com/search?q=WDB%E3%82%B3%E3%82%B3%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-5144-2255', 4), ('078-389-1411', 3), ('03-5144-2250', 2)]","[' 東京都中央区晴海1-8-11 トリトンスクエアY 27F · 本社電話番号, 03-5144-2255 · 設立, 1984年（昭和59年）8|||', '支援、臨床研究支援を行っているCROです。WDBココ株式会社 (中央区 TEL:03-5144-2255)24 › 東京都 › 中央区電話番号「|||', '中央区 TEL:03-5144-2255)24 › 東京都 › 中央区電話番号「03-5144-2255」東京都中央区にある「WDBココ株式会社|||', '2024年度会社概要 - マイナビ ›  › 241733 › 本社電話番号, 03-5144-2255 設立, 1984年（昭和59年）8月 |||']"
83,株式会社メディカル・プリンシプル社,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%A1%E3%83%87%E3%82%A3%E3%82%AB%E3%83%AB%E3%83%BB%E3%83%97%E3%83%AA%E3%83%B3%E3%82%B7%E3%83%97%E3%83%AB%E7%A4%BE%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-4565-6100', 3), ('082-262-7500', 1), ('082-262-7501', 1), ('03-4565-6101', 1), ('098-860-5920', 1)]","[' 株式会社メディカル・プリンシプル社（英文表記：M P C, L  TEL : 082-262-7500 FAX : 082-262-7501 |||', 'スのご案内詳細資料をお送りいたします。 株式会社メディカル・プリンシプル社 T：03-4565-6101 E-：@- 担当：池口 メディカル株式|||', ' 株式会社メディカル・プリンシプル社（人材派遣・紹介・代行サービス）の電話番号は098-860-5920、住所は沖縄県那覇市前島3丁目1−15、|||']"
84,株式会社グッド・クルー,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%B0%E3%83%83%E3%83%89%E3%83%BB%E3%82%AF%E3%83%AB%E3%83%BC%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-3797-7333', 6), ('03-3797-6633', 2), ('06-6136-3900', 1), ('03-5860-7565', 1), ('03-3518-0191', 1), ('03-3518-0190', 1), ('03-3518-0192', 1)]","['S45MG5FM EYSB0IK株式会社グッド・クルー（大阪オフィス） / 電話06-6136-3900A US | GOOD CREW- › |||', '本社所在地, 東京都渋谷区渋谷2-21-1 渋谷ヒカリエ32F 本社電話番号, 03-3797-7333 設立, 2006（平成18）年7月10|||', 'マピオン › 株式会社グッド・クルー（人材派遣・紹介・代行サービス）の電話番号は03-3797-7333、住所は東京都渋谷区渋谷2丁目21−1、|||', ' 〒150-8510 東京都渋谷区渋谷2-21-1 渋谷ヒカリエ32F TEL：03-3797-7333 FAX：03  株式会社グッド・クルー|||']"
85,株式会社メドレー,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%A1%E3%83%89%E3%83%AC%E3%83%BC%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-4520-9820', 4), ('03-6893-6673', 1), ('03-4523-8501', 1), ('03-6685-5752', 1), ('06-6210-1756', 1)]",[]
86,株式会社東京海上日動キャリアサービス,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E6%9D%B1%E4%BA%AC%E6%B5%B7%E4%B8%8A%E6%97%A5%E5%8B%95%E3%82%AD%E3%83%A3%E3%83%AA%E3%82%A2%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-6233-2240', 3), ('03-6233-2272', 1), ('03-6233-2250', 1), ('011-241-1781', 1), ('03-6233-2300', 1), ('022-225-2530', 1)]",[]
87,株式会社MS-Japan,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEMS-Japan%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-3239-7373', 7), ('03-3239-7397', 2), ('06-6292-5838', 1)]",[]
88,株式会社ディ・ポップス,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%87%E3%82%A3%E3%83%BB%E3%83%9D%E3%83%83%E3%83%97%E3%82%B9%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-3797-5557', 4), ('03-5860-7565', 1), ('03-6421-6757', 1), ('048-643-0660', 1), ('8048-643-0660', 1)]","[' ; 住所: 東京都渋谷区渋谷2-21-1 渋谷ヒカリエ32F ; 電話番号: 03-3797-5557会社概要 | 株式会社ディ・ポップス（D|||', '社所在地, 東京都渋谷区渋谷2-21-1 渋谷ヒカリエ 32F 本社電話番号, 03-3797-5557 設立, 1998年2月 資本金, 10|||', ' - 電話番号サーチ【企業情報検索】 › IBL株式会社ディ・ポップス TEL:03-3797-5557 企業情報 商号: 株式会社ディ・ポップ|||', '株式会社ディ・ポップス（D-POPS）- ›  番号：1-107区画 TEL: 03-6421-6757 TOP1武蔵小山_携帯ショップ  東京|||', '486430660/048-643-0660の情報 - IVR › H › 048048-643-0660は、株式会社ディ・ポップスの電話番号です|||']"
89,株式会社KG情報,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEKG%E6%83%85%E5%A0%B1%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('086-241-5522', 5), ('086-244-4911', 1), ('088-880-1551', 1)]","['北区/出版社）の電話番号・住所・地図 › 株式会社KG情報（出版社）の電話番号は086-241-5522、住所は岡山県岡山市北区平田170−10|||', '- マピオン電話帳 › 株式会社KG情報 高知支社（その他サービス）の電話番号は088-880-1551、住所は高知県高知市駅前町5−5、最寄り|||', '-0952 ; 本社所在地, 岡山市北区平田170-108 ; 本社電話番号, 086-241-5522 ; 許可, 一般労働者派遣事業（派33|||']"
90,株式会社エージェント（人材・東京都）,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%A8%E3%83%BC%E3%82%B8%E3%82%A7%E3%83%B3%E3%83%88%EF%BC%88%E4%BA%BA%E6%9D%90%E3%83%BB%E6%9D%B1%E4%BA%AC%E9%83%BD%EF%BC%89%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-5575-5840', 4), ('03-3780-3913', 1)]","[' 東京都渋谷区宇田川町33-7 アイ・アンド・イー渋谷ビル4F 本社電話番号, 03-3780-3913 創業, 2004年4月16日 設立, |||']"
91,株式会社シグナル（人材）,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%B7%E3%82%B0%E3%83%8A%E3%83%AB%EF%BC%88%E4%BA%BA%E6%9D%90%EF%BC%89%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('06-6631-8176', 1), ('06-6631-7155', 1), ('0120-25-4976', 1), ('06-6343-3880', 1), ('03-6803-8444', 1), ('06-6631-8112', 1)]",[]
92,株式会社FMG,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BEFMG%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('0476-85-5005', 7), ('0476-85-5120', 6), ('0476-85-5021', 2), ('0476-33-0111', 2)]","['ー · サイトマップ 株式会社FMG 千葉県成田市不動ケ岡2118-5 TEL 0476-85-5005(本社) FAX 0476-85-512|||', '86-0044 本社所在地, 千葉県成田市不動ヶ岡2118-5 本社電話番号, 0476-85-5005 設立, 1996年（平成8年）8月8日|||', 'ー · サイトマップ 株式会社FMG 千葉県成田市不動ケ岡2118-5 TEL 0476-85-5005(本社) FAX 0476-85-512|||', 'ー · サイトマップ 株式会社FMG 千葉県成田市不動ケ岡2118-5 TEL 0476-85-5005(本社) FAX 0476-85-512|||', ' (C) FMG A R R株式会社FMG(成田市不動ケ岡/航空業)(電話番号:0476-85-5005) › 「鉄道・飛行機・バス」×「千葉県|||', 'ー · サイトマップ 株式会社FMG 千葉県成田市不動ケ岡2118-5 TEL 0476-85-5005(本社) FAX 0476-85-512|||']"
93,株式会社ワークス・ジャパン,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%AF%E3%83%BC%E3%82%AF%E3%82%B9%E3%83%BB%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-5209-5012', 4), ('03-5209-5011', 3), ('03-5779-1128', 1)]","['京都千代田区鍛冶町2-2-2 神田パークプラザ7階（受付2階） 本社電話番号, 03-5209-5011 設立, 2010年7月7日 資本金, |||']"
94,ティー.ティー コーポレーション株式会社,https://www.google.com/search?q=%E3%83%86%E3%82%A3%E3%83%BC.%E3%83%86%E3%82%A3%E3%83%BC%20%E3%82%B3%E3%83%BC%E3%83%9D%E3%83%AC%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-5337-0070', 2), ('03-6478-2488', 1), ('03-5657-6734', 1), ('03-6368-4272', 1), ('03-5860-7565', 1), ('072-273-1518', 1), ('072-273-2118', 1)]","['区西新宿八丁目15番17号 住友不動産西新宿ビル2号館4階 ; 本社電話番号, 03-6368-4272 ; 採用専用電話番号, 0363684|||']"
95,旭化成アミダス株式会社,https://www.google.com/search?q=%E6%97%AD%E5%8C%96%E6%88%90%E3%82%A2%E3%83%9F%E3%83%80%E3%82%B9%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-6777-1308', 2), ('077-581-4020', 1), ('077-581-4075', 1), ('03-6777-1100', 1), ('03-6777-1307', 1), ('06-7636-3087', 1), ('06-7636-3126', 1), ('06-7636-3088', 1), ('06-7636-3189', 1), ('03-6777-4300', 1), ('0545-62-2077', 1), ('044-271-3860', 1), ('03-6777-1300', 1), ('077-581-4920', 1), ('092-526-2052', 1), ('092-526-2054', 1)]","['グループTEL: 077-581-4020 0120-854-622 FAX: 077-581-4075拠点一覧 - 旭化成アミダス株式会社 ›|||', '大阪 拠点情報 - 旭化成アミダス株式会社 › 会社情報 › 拠点一覧TEL: 06-7636-3087 · 0120-473-087; FAX|||', '事業部人材紹介グループ(大阪) TEL: 06-7636-3088; FAX: 06-7636-3189旭化成アミダス株式会社のサービス・セミナ|||', '旭化成アミダス株式会社のサービス・セミナー情報 - HRプロ › __電話番号 03-6777-4300 FAX番号 03-6777-1308 |||', '(株) 川崎製造所 合同9号館 · 川崎支店 0120-161-926 TEL：044-271-3860旭化成アミダス株式会社の会社概要｜ミドル|||', '› 転職エージェントTOP 旭化成アミダス株式会社などの人材紹介会社  TEL 03-6777-1300 / FAX 03-6777-1308 |||', '福岡 拠点情報 - 旭化成アミダス株式会社 › 会社情報 › 拠点一覧TEL: 092-526-2052 · 0120-751-670; FAX|||']"
96,インプレックスアンドカンパニー株式会社,https://www.google.com/search?q=%E3%82%A4%E3%83%B3%E3%83%97%E3%83%AC%E3%83%83%E3%82%AF%E3%82%B9%E3%82%A2%E3%83%B3%E3%83%89%E3%82%AB%E3%83%B3%E3%83%91%E3%83%8B%E3%83%BC%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-6550-8012', 10), ('03-6550-8013', 3), ('03-6435-7164', 1), ('03-6435-7165', 1)]","['御礼申し上げます。 この度、弊社インプレックスアンドカンパニー株式会社  番号：03-6435-7164 FAX番号：03-6435-7165会|||', '御礼申し上げます。 この度、弊社インプレックスアンドカンパニー株式会社  番号：03-6550-8012 FAX番号：03-6550-8013あ|||', '› インプレックスアンドカンパニー株式会社（調査・コンサルタント業）の電話番号は03-6550-8012、住所は東京都港区虎ノ門1丁目23−1、|||']"
97,ウェルビー株式会社（人材サービス）,https://www.google.com/search?q=%E3%82%A6%E3%82%A7%E3%83%AB%E3%83%93%E3%83%BC%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%EF%BC%88%E4%BA%BA%E6%9D%90%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%EF%BC%89%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-6264-4672', 2), ('03-6268-9542', 2), ('03-6268-9543', 1)]","['用・会社概要 | マイナビ2024 ›  › 224260 › 本社電話番号, 03-6264-4672 代表者の役職  ウェルビーグループと業|||', 'プ・会社概要 | マイナビ2025 ›  › 224260 › 本社電話番号, 03-6264-4672 代表者の役職氏名, 代表取締役社長 大|||']"
98,サーチファーム・ジャパン株式会社,https://www.google.com/search?q=%E3%82%B5%E3%83%BC%E3%83%81%E3%83%95%E3%82%A1%E3%83%BC%E3%83%A0%E3%83%BB%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-3221-3481', 13), ('03-3221-3482', 1)]","['102-0083 東京都千代田区麹町 1-7 相互半蔵門ビルディング（MAP） 03-3221-3481サーチファーム・ジャパン株式会社-お電話|||', '3-3221-3481サーチファーム・ジャパン株式会社-お電話でのお問い合わせ 03-3221-3481 〒102-0083 東京都千代田区麹町|||', '› サーチファーム・ジャパン株式会社（人材派遣・紹介・代行サービス）の電話番号は03-3221-3481、住所は東京都千代田区麹町1丁目7、最寄|||', 'ージェントTOP サーチファーム・ジャパン株式会社などの人材紹介会社  TEL 03-3221-3481 / FAX 03-3221-3482 |||']"
99,株式会社フェローズ（人材）,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%95%E3%82%A7%E3%83%AD%E3%83%BC%E3%82%BA%EF%BC%88%E4%BA%BA%E6%9D%90%EF%BC%89%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-5287-8880', 2), ('03-5287-8889', 2), ('03-5728-5580', 2), ('098-975-5330', 1), ('098-975-5331', 1), ('03-6276-5239', 1), ('092-753-8524', 1)]","['年に創業し、今年16年目の人材を扱う会社です。主な仕事内容は  本社電話番号, 03-6276-5239 設立, 2008年2月 資本金, 1億|||']"
